사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
23.Dec,경원선,1908,녹양,93245,87300,38229,36109
23.Dec,경원선,1909,양주,164870,157056,55045,53477
23.Dec,경원선,1910,덕계,115722,101555,31174,29441
23.Dec,경원선,1911,덕정,142759,133766,35595,35616
23.Dec,경원선,1912,지행,154611,154331,46214,45687
23.Dec,경원선,1913,동두천중앙,55040,53645,35240,35154
23.Dec,경원선,1914,보산,35349,32265,13658,12875
23.Dec,경원선,1915,동두천,40358,40890,22086,23966
23.Dec,경원선,1916,소요산,22856,19642,40555,37554
23.Dec,경원선,1917,초성리,1405,1199,842,868
23.Dec,경원선,1918,전곡,13554,12242,7546,6983
23.Dec,경원선,1919,연천,10626,10601,20838,21191
23.Dec,안산선,1751,산본,375711,404440,111799,113166
23.Dec,안산선,1752,대야미,113548,98662,31279,29425
23.Dec,안산선,1753,반월,96325,91590,31906,31437
23.Dec,안산선,1754,상록수,381928,382182,73629,74593
23.Dec,안산선,1755,한대앞,242937,238628,42979,44643
23.Dec,안산선,1756,중앙,498556,527088,68768,67872
23.Dec,안산선,1757,고잔,225579,215690,38862,37900
23.Dec,안산선,1758,초지,131258,130107,19409,19299
23.Dec,안산선,1759,안산,327813,309707,38985,36392
23.Dec,안산선,1760,신길온천,47822,43206,10041,9601
23.Dec,안산선,1761,정왕,249255,252722,29376,31017
23.Dec,안산선,1762,오이도,207849,207703,33732,33728
23.Dec,안산선,1763,수리산,85226,66592,32106,30043
23.Dec,과천선,1450,선바위,193659,164829,35811,34460
23.Dec,과천선,1451,경마공원,118467,120512,90998,90947
23.Dec,과천선,1452,대공원,58771,60719,27894,29357
23.Dec,과천선,1453,과천,147015,133964,48446,45905
23.Dec,과천선,1454,정부과천청사,262235,271512,57741,56993
23.Dec,과천선,1455,인덕원,600449,610780,127296,131030
23.Dec,과천선,1456,평촌,426586,411364,72227,71581
23.Dec,과천선,1457,범계,685165,685751,123804,121598
23.Dec,분당선,1023,선릉,305630,479432,47970,65030
23.Dec,분당선,1024,한티,373578,391634,72975,74607
23.Dec,분당선,1025,도곡,166626,159635,57916,53263
23.Dec,분당선,1026,구룡,62532,60692,22950,23150
23.Dec,분당선,1027,개포동,105620,106374,34689,35821
23.Dec,분당선,1028,대모산입구,136669,125170,38950,38393
23.Dec,분당선,1030,수서,364841,377076,73430,75732
23.Dec,분당선,1031,복정,28,0,3,0
23.Dec,분당선,1846,수원,219565,196000,34849,30923
23.Dec,분당선,1847,서울숲,322732,336347,29591,29180
23.Dec,분당선,1848,압구정로데오,555616,637724,49824,48250
23.Dec,분당선,1849,강남구청,228413,265034,40518,43811
23.Dec,분당선,1850,선정릉,176562,185081,33161,32332
23.Dec,분당선,1851,가천대,244296,255051,28554,29443
23.Dec,분당선,1852,태평,304098,280377,96336,99411
23.Dec,분당선,1853,모란,435593,434174,170440,185035
23.Dec,분당선,1854,야탑,591869,628675,165112,167594
23.Dec,분당선,1855,서현,601703,616112,136884,132397
23.Dec,분당선,1856,수내,320105,318538,79043,77768
23.Dec,분당선,1857,정자,440739,459932,72140,73107
23.Dec,분당선,1858,미금,329094,345932,109861,115872
23.Dec,분당선,1859,오리,257777,214373,74469,64469
23.Dec,분당선,1860,이매,128330,121890,41928,41819
23.Dec,분당선,1861,보정,56189,48513,21224,20091
23.Dec,분당선,1862,죽전,334242,371003,74538,79497
23.Dec,분당선,1863,구성,104934,109508,38320,38420
23.Dec,분당선,1864,신갈,107089,103460,31529,31331
23.Dec,분당선,1865,기흥,260356,237894,47358,45021
23.Dec,분당선,1866,상갈,125236,118888,33485,32699
23.Dec,분당선,1867,청명,112122,106487,22136,22343
23.Dec,분당선,1868,영통,238381,236294,36252,35986
23.Dec,분당선,1869,망포,402268,380487,43612,42105
23.Dec,분당선,1870,매탄권선,137531,130775,24557,23477
23.Dec,분당선,1871,수원시청,362349,401561,49308,50708
23.Dec,분당선,1872,매교,121816,120191,25620,26093
23.Dec,일산선,1948,원흥,270650,253541,65779,63067
23.Dec,일산선,1949,지축,8,0,0,0
23.Dec,일산선,1950,삼송,478318,449507,99094,99569
23.Dec,일산선,1951,원당,244035,226227,83002,82397
23.Dec,일산선,1952,화정,391328,404456,124442,127266
23.Dec,일산선,1953,대곡,67241,49419,11996,10128
23.Dec,일산선,1954,백석,228795,231510,78034,77362
23.Dec,일산선,1955,마두,153979,157718,68393,70062
23.Dec,일산선,1956,정발산,174567,184375,55722,52433
23.Dec,일산선,1957,주엽,192829,190673,92522,95513
23.Dec,일산선,1958,대화,344492,267127,84600,76960
23.Dec,중앙선,1015,회기,682921,645909,119917,117744
23.Dec,중앙선,1201,중랑,112419,107101,49134,48846
23.Dec,중앙선,1202,상봉(시외버스터미널),128827,127225,41177,40286
23.Dec,중앙선,1203,망우,156032,148149,73241,73897
23.Dec,중앙선,1204,양원,65512,62364,20830,20693
23.Dec,중앙선,1205,구리,303583,308769,85783,86420
23.Dec,중앙선,1206,도농,252867,231521,68303,66620
23.Dec,중앙선,1207,양정,10041,8211,5728,4866
23.Dec,중앙선,1208,덕소,114489,112351,45570,45386
23.Dec,중앙선,1209,도심,49169,37542,18903,17233
23.Dec,중앙선,1210,팔당,17627,18316,7870,7687
23.Dec,중앙선,1211,운길산,10824,9964,7197,7191
23.Dec,중앙선,1212,양수,33674,33753,18893,19007
23.Dec,중앙선,1213,신원,2509,2282,2767,2279
23.Dec,중앙선,1214,국수,11842,11346,8714,8808
23.Dec,중앙선,1215,아신,10170,10273,7556,7398
23.Dec,중앙선,1216,오빈,4579,4472,4179,4247
23.Dec,중앙선,1217,양평,63457,65422,32427,32828
23.Dec,중앙선,1218,원덕,4951,4673,5471,5273
23.Dec,중앙선,1219,용문,30553,30571,29798,29861
23.Dec,중앙선,1220,지평,705,898,808,790
23.Dec,장항선,1401,봉명,27315,27335,11365,10812
23.Dec,장항선,1402,쌍용(나사렛대),64209,60653,15153,14556
23.Dec,장항선,1403,아산,116344,102691,14410,13303
23.Dec,장항선,1404,탕정,40847,36213,6166,5884
23.Dec,장항선,1405,배방,31446,30373,7041,6649
23.Dec,장항선,1407,온양온천,90866,92082,63727,64016
23.Dec,장항선,1408,신창(순천향대),41101,39245,6311,5807
23.Dec,경의선,1252,신촌,21457,28380,3621,4613
23.Dec,경의선,1261,효창공원앞,75422,83375,15572,17581
23.Dec,경의선,1263,서강대,55495,55728,11364,10849
23.Dec,경의선,1265,가좌,129272,121935,44807,44875
23.Dec,경의선,1267,수색,74090,77135,17445,17742
23.Dec,경의선,1268,화전,57762,52587,8742,8425
23.Dec,경의선,1269,강매,74315,62478,18258,17196
23.Dec,경의선,1270,행신,203310,201390,36876,37691
23.Dec,경의선,1271,능곡,107785,98924,34317,33507
23.Dec,경의선,1272,곡산,12801,13229,4998,5150
23.Dec,경의선,1273,백마,176548,167115,37238,36551
23.Dec,경의선,1274,풍산,143033,133475,39679,38993
23.Dec,경의선,1275,일산,245281,235176,68464,68665
23.Dec,경의선,1276,탄현,193009,180070,40898,40339
23.Dec,경의선,1277,야당,221579,226977,42158,40872
23.Dec,경의선,1278,운정,174102,159404,41777,40233
23.Dec,경의선,1279,금릉,129774,123276,30887,30208
23.Dec,경의선,1280,금촌,156286,150515,46458,47278
23.Dec,경의선,1282,월롱,52653,45033,8239,8580
23.Dec,경의선,1283,파주,31819,23023,6823,5852
23.Dec,경의선,1284,문산,120830,116211,42404,42217
23.Dec,경의선,1285,임진강,311,226,219,196
23.Dec,경의선,1286,운천,111,28,100,97
23.Dec,경의선,1291,서울역,101791,126144,16319,19611
23.Dec,경의선,1292,공덕,109672,84080,16897,15668
23.Dec,경의선,1293,홍대입구,61859,81718,5512,6322
23.Dec,경의선,1294,디지털미디어시티,69415,61263,12759,13069
23.Dec,경의선,1295,김포공항,1,0,0,0
23.Dec,경의선,1296,계양,10,0,1,0
23.Dec,경춘선,1311,신내,45623,42268,17952,17278
23.Dec,경춘선,1312,갈매,64951,53598,21313,19660
23.Dec,경춘선,1313,별내,69004,65533,21937,20479
23.Dec,경춘선,1314,퇴계원,74676,67226,28546,26923
23.Dec,경춘선,1315,사릉,46739,44699,14610,14649
23.Dec,경춘선,1316,금곡,26672,25452,15689,15131
23.Dec,경춘선,1317,평내호평,130280,127683,46667,44703
23.Dec,경춘선,1318,천마산,27611,24119,17445,17444
23.Dec,경춘선,1319,마석,78114,74811,33924,33709
23.Dec,경춘선,1320,대성리,10761,9729,5416,5062
23.Dec,경춘선,1321,청평,35552,33970,17180,16858
23.Dec,경춘선,1322,상천,3775,3353,3383,3175
23.Dec,경춘선,1323,가평,41328,41541,13618,13363
23.Dec,경춘선,1324,굴봉산,1834,2840,1495,1423
23.Dec,경춘선,1325,백양리,9095,7486,1070,1152
23.Dec,경춘선,1326,강촌,8878,8331,3467,3412
23.Dec,경춘선,1327,김유정,7262,7181,3350,3396
23.Dec,경춘선,1328,남춘천,63409,63700,24403,24935
23.Dec,경춘선,1329,춘천,32163,28989,14213,12011
23.Dec,수인선,1873,고색,128700,121665,20414,18923
23.Dec,수인선,1874,오목천,109051,91490,17016,16531
23.Dec,수인선,1875,어천,31199,28672,7193,7830
23.Dec,수인선,1876,야목,8577,6946,2660,2250
23.Dec,수인선,1877,사리,131112,110428,20278,18353
23.Dec,수인선,1878,달월,2047,1554,1110,590
23.Dec,수인선,1879,월곶,66635,58870,17350,16791
23.Dec,수인선,1880,소래포구,101628,95996,51714,50612
23.Dec,수인선,1881,인천논현,123734,132462,36304,37021
23.Dec,수인선,1882,호구포,91116,92523,22946,22516
23.Dec,수인선,1883,남동인더스파크,47914,54588,6724,6753
23.Dec,수인선,1884,원인재,101070,101401,34054,33948
23.Dec,수인선,1885,연수,112731,112002,33977,34019
23.Dec,수인선,1886,송도,51689,46369,22624,21782
23.Dec,수인선,1888,인하대,161633,149183,29935,28590
23.Dec,수인선,1889,숭의,85841,79108,30659,29087
23.Dec,수인선,1890,신포,40653,42227,14643,14801
23.Dec,수인선,1891,인천,19844,35147,12469,15991
23.Dec,경강선,1501,판교,149143,151654,21956,19387
23.Dec,경강선,1502,이매,28088,22990,7507,6871
23.Dec,경강선,1503,삼동,58091,51836,14421,14497
23.Dec,경강선,1504,경기광주,199817,183832,35023,34759
23.Dec,경강선,1505,초월,87036,79351,16749,16123
23.Dec,경강선,1506,곤지암,58716,54561,14226,13954
23.Dec,경강선,1507,신둔도예촌,37255,33865,8756,8280
23.Dec,경강선,1508,이천,75836,79337,15241,16037
23.Dec,경강선,1509,부발,62461,58430,10034,9760
23.Dec,경강선,1510,세종대왕릉,6788,6651,3789,3789
23.Dec,경강선,1511,여주,66291,65185,18824,18732
23.Dec,서해선,1980,김포공항,84527,102247,11161,15411
23.Dec,서해선,1981,원종,96140,96603,36788,38051
23.Dec,서해선,1982,부천종합운동장,63595,50681,7509,5894
23.Dec,5호선,2511,방화,148772,140607,56409,55349
23.Dec,5호선,2512,개화산,129539,122466,41907,41092
23.Dec,5호선,2513,김포공항,253098,203846,46563,43844
23.Dec,5호선,2514,송정,140257,132010,50822,48887
23.Dec,5호선,2515,마곡,286953,290625,49434,48133
23.Dec,5호선,2516,발산,546405,576816,112427,109148
23.Dec,5호선,2517,우장산,331077,320549,97689,101086
23.Dec,5호선,2518,화곡,686226,632669,153634,147124
23.Dec,5호선,2519,까치산,664290,628899,162697,163963
23.Dec,5호선,2520,신정(은행정),324496,262930,66393,63625
23.Dec,5호선,2521,목동,391771,416998,87860,89505
23.Dec,5호선,2522,오목교(목동운동장앞),539911,572142,94502,93675
23.Dec,5호선,2523,양평,180911,176401,31061,30757
23.Dec,5호선,2524,영등포구청,105133,103546,21052,20589
23.Dec,5호선,2525,영등포시장,255186,261749,83576,85312
23.Dec,5호선,2526,신길,125170,129136,12456,12969
23.Dec,5호선,2527,여의도,765659,792548,60226,56866
23.Dec,5호선,2528,여의나루,309359,386743,29780,29514
23.Dec,5호선,2529,마포,361841,372536,67024,66658
23.Dec,5호선,2530,공덕,356531,378406,52172,49599
23.Dec,5호선,2531,애오개,152720,152463,38732,37408
23.Dec,5호선,2532,충정로(경기대입구),111202,112198,15720,16234
23.Dec,5호선,2533,서대문,480960,485639,72509,68532
23.Dec,5호선,2534,광화문(세종문화회관),961480,1001882,102339,100391
23.Dec,5호선,2535,종로3가,359884,350310,101957,103317
23.Dec,5호선,2536,을지로4가,137263,144023,43508,42532
23.Dec,5호선,2537,동대문역사문화공원(DDP),78012,91659,8601,9736
23.Dec,5호선,2538,청구,87219,85074,24964,20568
23.Dec,5호선,2539,신금호,148386,154248,39784,44480
23.Dec,5호선,2540,행당,184907,162672,53158,48198
23.Dec,5호선,2541,왕십리(성동구청),110447,135762,26921,26978
23.Dec,5호선,2542,마장,132289,124898,43584,43226
23.Dec,5호선,2543,답십리,378775,342208,88823,85195
23.Dec,5호선,2544,장한평,446797,441848,99878,101919
23.Dec,5호선,2545,군자(능동),304011,338976,45024,49181
23.Dec,5호선,2546,아차산(어린이대공원후문),330224,318060,103116,101342
23.Dec,5호선,2547,광나루(장신대),331615,306362,75818,73014
23.Dec,5호선,2548,천호(풍납토성),446316,430283,151433,151313
23.Dec,5호선,2549,강동,420321,407241,111875,108936
23.Dec,5호선,2550,길동,164605,171437,78878,80327
23.Dec,5호선,2551,굽은다리(강동구민회관앞),213956,208251,84772,80312
23.Dec,5호선,2552,명일,193365,194787,75731,77593
23.Dec,5호선,2553,고덕,227594,220598,77827,76354
23.Dec,5호선,2554,상일동,328926,310313,95299,93972
23.Dec,5호선,2555,둔촌동,192165,191205,71047,71679
23.Dec,5호선,2556,올림픽공원(한국체대),123538,109387,38090,34863
23.Dec,5호선,2557,방이,167736,171336,52678,52676
23.Dec,5호선,2558,오금,82482,81782,22990,21857
23.Dec,5호선,2559,개롱,138543,143161,52691,54431
23.Dec,5호선,2560,거여,225042,217625,69515,67195
23.Dec,5호선,2561,마천,159241,141661,59760,60738
23.Dec,5호선,2562,강일,123857,109649,44178,42231
23.Dec,5호선,2563,미사,433397,437035,87579,87214
23.Dec,5호선,2564,하남풍산,100760,100692,33774,33408
23.Dec,5호선,2565,하남시청(덕풍·신장),165134,153402,76834,76738
23.Dec,5호선,2566,하남검단산,153277,144029,53289,52846
23.Dec,6호선,2611,응암,396185,388725,123579,123384
23.Dec,6호선,2612,역촌,78591,99460,33930,33892
23.Dec,6호선,2613,불광,96131,96072,43327,34950
23.Dec,6호선,2614,독바위,59768,59236,20875,25280
23.Dec,6호선,2615,연신내,22,0,2,0
23.Dec,6호선,2616,구산,177711,119030,56441,59187
23.Dec,6호선,2617,새절(신사),284086,256891,90413,89788
23.Dec,6호선,2618,증산(명지대앞),217860,214433,74712,75355
23.Dec,6호선,2619,디지털미디어시티,344325,381161,62140,62711
23.Dec,6호선,2620,월드컵경기장(성산),83042,88175,47049,45438
23.Dec,6호선,2621,마포구청,336982,302200,82902,75930
23.Dec,6호선,2622,망원,375727,402644,81236,85600
23.Dec,6호선,2623,합정,387428,381691,43410,40218
23.Dec,6호선,2624,상수,298173,344173,22805,23070
23.Dec,6호선,2625,광흥창(서강),215791,207429,52465,52034
23.Dec,6호선,2626,대흥(서강대앞),220628,229104,47316,47390
23.Dec,6호선,2627,공덕,459515,445008,81670,76543
23.Dec,6호선,2628,효창공원앞,177835,161959,38947,35832
23.Dec,6호선,2629,삼각지,207954,181983,22110,18660
23.Dec,6호선,2630,녹사평(용산구청),139857,144479,18830,18137
23.Dec,6호선,2631,이태원,350254,385058,32436,32872
23.Dec,6호선,2632,한강진,287348,337444,18299,18360
23.Dec,6호선,2633,버티고개,49898,48083,14481,16236
23.Dec,6호선,2634,약수,88730,88889,22157,22244
23.Dec,6호선,2635,청구,90544,86457,20093,22290
23.Dec,6호선,2636,신당,228106,227766,39410,38141
23.Dec,6호선,2637,동묘앞,182932,188804,70230,64636
23.Dec,6호선,2638,창신,82898,67740,19978,18853
23.Dec,6호선,2639,보문,198486,182352,31872,30434
