사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
Dec.23,2호선,0212,건대입구,324 ,6 ,15464 ,1959 ,20985 ,14610 ,49461 ,22460 ,89622 ,56529 ,61591 ,52137 ,41739 ,45276 ,40832 ,52288 ,46736 ,59833 ,52277 ,66496 ,55578 ,66478 ,61918 ,73194 ,72394 ,86379 ,84567 ,113751 ,90919 ,156090 ,69703 ,106891 ,71960 ,68295 ,78492 ,64490 ,81124 ,58783 ,50098 ,36393 ,8262 ,13144 ,198 ,1698 ,3 ,129 ,0 ,0 
Dec.23,2호선,0213,구의(광진구청),46 ,3 ,13033 ,1495 ,24625 ,23443 ,62655 ,15923 ,109941 ,39034 ,71449 ,22325 ,40401 ,19966 ,33918 ,22479 ,35755 ,24548 ,35011 ,28161 ,32466 ,30980 ,35000 ,38665 ,44982 ,45634 ,45438 ,61547 ,45612 ,92509 ,25028 ,65227 ,19892 ,45664 ,18985 ,44771 ,17463 ,43943 ,9195 ,26733 ,1370 ,8461 ,34 ,626 ,0 ,42 ,0 ,0 
Dec.23,2호선,0214,강변(동서울터미널),33 ,1 ,8316 ,1994 ,25176 ,19082 ,70058 ,21276 ,107811 ,40051 ,85444 ,35948 ,70090 ,38511 ,63640 ,38456 ,58723 ,42714 ,57154 ,47383 ,51699 ,53248 ,54809 ,62755 ,57726 ,67610 ,61496 ,80662 ,60571 ,105525 ,42454 ,75080 ,32658 ,55641 ,26477 ,47574 ,17539 ,44406 ,7164 ,24402 ,1104 ,6709 ,41 ,424 ,1 ,24 ,0 ,0 
Dec.23,2호선,0215,잠실나루,22 ,1 ,3194 ,2907 ,11370 ,16087 ,33886 ,21400 ,45001 ,36938 ,31398 ,25278 ,26087 ,19488 ,26693 ,18014 ,25474 ,21810 ,23079 ,23051 ,25448 ,21720 ,28100 ,21481 ,38120 ,23302 ,38893 ,28896 ,29315 ,37578 ,13862 ,27054 ,10658 ,18723 ,8142 ,18892 ,5955 ,18104 ,2875 ,10560 ,571 ,3162 ,64 ,247 ,0 ,18 ,0 ,0 
Dec.23,2호선,0216,잠실(송파구청),118 ,1 ,12952 ,4902 ,48144 ,32495 ,111877 ,73695 ,155188 ,175249 ,116310 ,192240 ,86041 ,141239 ,92035 ,148644 ,103606 ,146338 ,116176 ,154082 ,135787 ,157627 ,166370 ,174225 ,195705 ,191721 ,233022 ,217884 ,266447 ,256515 ,196902 ,165501 ,209945 ,110534 ,200008 ,104319 ,137183 ,94563 ,38714 ,57404 ,14689 ,11586 ,1238 ,939 ,2 ,86 ,0 ,0 
Dec.23,2호선,0217,잠실새내,45 ,0 ,5757 ,1083 ,16425 ,8314 ,52051 ,15468 ,78758 ,28023 ,52216 ,31304 ,37326 ,25996 ,36343 ,28724 ,37156 ,34121 ,37412 ,37355 ,35866 ,41379 ,39445 ,47106 ,42475 ,54812 ,46200 ,70387 ,46234 ,89871 ,33754 ,61760 ,30525 ,39779 ,30027 ,36866 ,30123 ,34387 ,17156 ,19313 ,2727 ,5983 ,153 ,467 ,2 ,11 ,0 ,0 
Dec.23,2호선,0218,종합운동장,22 ,0 ,1452 ,948 ,5695 ,8332 ,14837 ,12970 ,21907 ,23082 ,16046 ,13651 ,12677 ,11961 ,12198 ,11468 ,12412 ,13581 ,11804 ,18848 ,17840 ,22360 ,16255 ,20626 ,22600 ,22024 ,26607 ,29746 ,20250 ,41772 ,11923 ,19896 ,12689 ,11307 ,31072 ,11816 ,17348 ,11299 ,3250 ,6797 ,427 ,2097 ,47 ,178 ,0 ,2 ,0 ,0 
Dec.23,2호선,0219,삼성(무역센터),158 ,2 ,4565 ,5282 ,6487 ,40806 ,13489 ,120287 ,17920 ,301391 ,20551 ,237233 ,26381 ,126051 ,40551 ,102046 ,54401 ,94497 ,70651 ,101652 ,91981 ,91921 ,118799 ,82412 ,150991 ,79509 ,232472 ,84746 ,298236 ,76409 ,161427 ,38301 ,137548 ,20797 ,122207 ,16635 ,81515 ,12923 ,22621 ,7579 ,3117 ,4153 ,40 ,1224 ,0 ,132 ,0 ,0 
Dec.23,2호선,0220,선릉,154 ,2 ,4947 ,6003 ,10959 ,40265 ,19530 ,108225 ,32554 ,260129 ,33642 ,208306 ,38337 ,105034 ,49921 ,68718 ,59840 ,61910 ,69088 ,70165 ,80086 ,58720 ,102288 ,53280 ,128146 ,54096 ,196591 ,62355 ,262918 ,64823 ,134559 ,38018 ,92240 ,24087 ,94775 ,22374 ,81769 ,19923 ,30909 ,12424 ,5147 ,5597 ,58 ,689 ,0 ,14 ,0 ,0 
Dec.23,2호선,0221,역삼,78 ,2 ,3628 ,6224 ,8911 ,39742 ,14489 ,135228 ,25209 ,312805 ,23489 ,273764 ,25649 ,123430 ,34681 ,71813 ,44177 ,62290 ,52181 ,65930 ,64011 ,54118 ,83297 ,47387 ,104264 ,49531 ,204464 ,62341 ,238296 ,66506 ,135602 ,39194 ,85454 ,23408 ,83807 ,20793 ,60134 ,18371 ,25227 ,11408 ,4630 ,3828 ,30 ,349 ,0 ,2 ,0 ,0 
Dec.23,2호선,0222,강남,162 ,12 ,10077 ,10718 ,18160 ,53856 ,36702 ,133015 ,58885 ,277562 ,51403 ,291458 ,53860 ,150311 ,72534 ,111816 ,90211 ,107703 ,106120 ,121674 ,119813 ,112997 ,147166 ,108173 ,181153 ,120276 ,246610 ,153169 ,295278 ,189811 ,200483 ,110805 ,161575 ,61660 ,189168 ,53031 ,170213 ,45612 ,89560 ,26896 ,16352 ,8128 ,124 ,745 ,1 ,26 ,0 ,0 
Dec.23,2호선,0223,교대(법원.검찰청),12 ,0 ,2343 ,6558 ,10316 ,22656 ,22110 ,47066 ,34354 ,141277 ,27706 ,131135 ,27035 ,67913 ,32839 ,63461 ,35351 ,56832 ,42757 ,57345 ,53100 ,51675 ,55594 ,49252 ,60668 ,53978 ,95671 ,74710 ,121011 ,77891 ,59183 ,41640 ,53974 ,26400 ,55463 ,25863 ,41846 ,23879 ,18822 ,13671 ,3970 ,4154 ,29 ,230 ,0 ,6 ,0 ,0 
Dec.23,2호선,0224,서초,4 ,1 ,1947 ,4153 ,8583 ,21534 ,16868 ,49976 ,26332 ,104607 ,28407 ,89849 ,22601 ,42533 ,33265 ,41158 ,28090 ,29171 ,39752 ,29545 ,38997 ,27310 ,45764 ,22605 ,50268 ,26712 ,72764 ,31445 ,86628 ,29690 ,44246 ,18503 ,33157 ,12080 ,32784 ,12051 ,19871 ,11456 ,7091 ,6711 ,1149 ,1776 ,14 ,93 ,0 ,9 ,0 ,0 
Dec.23,2호선,0225,방배,5 ,1 ,2426 ,2601 ,8364 ,11911 ,19722 ,23875 ,29049 ,65170 ,24195 ,49927 ,20472 ,29496 ,22643 ,26720 ,24522 ,26640 ,27274 ,26473 ,30027 ,26031 ,33148 ,25148 ,38974 ,27190 ,46762 ,32751 ,56717 ,36487 ,26595 ,24494 ,23141 ,17111 ,23109 ,17073 ,18052 ,16764 ,7403 ,10002 ,1615 ,3113 ,34 ,108 ,1 ,17 ,0 ,0 
Dec.23,2호선,0226,사당,137 ,7 ,11704 ,4205 ,26210 ,32061 ,71615 ,41460 ,92510 ,61603 ,75193 ,49726 ,52218 ,45260 ,49376 ,64956 ,55474 ,64636 ,60071 ,56560 ,69211 ,57039 ,72008 ,70864 ,76161 ,97363 ,84478 ,139912 ,96252 ,179093 ,73362 ,118869 ,73914 ,72680 ,84775 ,70341 ,81584 ,67531 ,46746 ,43517 ,7522 ,13596 ,115 ,2021 ,3 ,120 ,0 ,0 
Dec.23,2호선,0227,낙성대(강감찬),31 ,0 ,11171 ,2208 ,24885 ,10354 ,75862 ,18274 ,117304 ,36495 ,79318 ,31825 ,47043 ,27984 ,40902 ,26423 ,44114 ,28603 ,44425 ,31112 ,39743 ,33153 ,40349 ,39300 ,44296 ,46425 ,47415 ,61885 ,49105 ,92987 ,28207 ,80314 ,22657 ,54267 ,22043 ,53390 ,17007 ,53569 ,9047 ,35295 ,1550 ,10671 ,32 ,758 ,0 ,64 ,0 ,0 
Dec.23,2호선,0228,서울대입구(관악구청),4746 ,20 ,27064 ,2643 ,40832 ,13784 ,115568 ,26043 ,159468 ,62511 ,113323 ,56776 ,72088 ,51575 ,64563 ,47646 ,70634 ,54379 ,73564 ,57059 ,66508 ,60554 ,70857 ,69556 ,78466 ,81782 ,86192 ,108458 ,90261 ,159414 ,53011 ,132035 ,46455 ,85232 ,47663 ,83194 ,42918 ,81159 ,24338 ,52982 ,4265 ,20854 ,41 ,3376 ,0 ,164 ,0 ,0 
Dec.23,2호선,0229,봉천,65 ,2 ,14844 ,1879 ,26943 ,7627 ,75846 ,12551 ,113637 ,25823 ,72642 ,20143 ,45222 ,19292 ,36283 ,23946 ,37595 ,25954 ,37050 ,27046 ,34841 ,30369 ,32895 ,38669 ,35010 ,43902 ,35035 ,56750 ,32700 ,80291 ,20089 ,69327 ,16810 ,45275 ,14653 ,44023 ,11797 ,41483 ,5223 ,26620 ,981 ,9127 ,10 ,795 ,0 ,0 ,0 ,0 
Dec.23,2호선,0230,신림,195 ,9 ,36317 ,3942 ,64151 ,16573 ,168672 ,25109 ,250796 ,42552 ,157526 ,43125 ,94494 ,42008 ,80403 ,48427 ,83982 ,53748 ,80874 ,61576 ,77105 ,66409 ,75493 ,82870 ,80659 ,101972 ,83784 ,133537 ,81192 ,201965 ,53915 ,179682 ,46045 ,121499 ,44191 ,117031 ,38470 ,112362 ,22431 ,78166 ,4531 ,22556 ,68 ,1981 ,1 ,0 ,0 ,0 
Dec.23,2호선,0231,신대방,263 ,2 ,23101 ,1918 ,31899 ,9429 ,83152 ,14116 ,125906 ,24594 ,81783 ,18590 ,48281 ,19271 ,39802 ,20594 ,39435 ,23184 ,37298 ,27526 ,32321 ,30562 ,32859 ,41252 ,35521 ,46930 ,36202 ,61914 ,33210 ,87157 ,20528 ,75149 ,16199 ,54808 ,12944 ,58809 ,10695 ,57496 ,5096 ,34646 ,1015 ,10129 ,56 ,657 ,0 ,0 ,0 ,0 
Dec.23,2호선,0232,구로디지털단지,226 ,9 ,36799 ,5040 ,48809 ,19298 ,131619 ,74242 ,176836 ,204033 ,112455 ,131291 ,72194 ,61272 ,65833 ,47691 ,72601 ,52334 ,72906 ,62697 ,68059 ,61314 ,74003 ,69477 ,89227 ,84350 ,134661 ,112987 ,188913 ,156345 ,94371 ,126348 ,63679 ,85939 ,54718 ,87657 ,44059 ,86906 ,21225 ,54301 ,3786 ,15633 ,89 ,1225 ,0 ,5 ,0 ,0 
Dec.23,2호선,0233,대림(구로구청),529 ,28 ,32398 ,3056 ,27546 ,9570 ,61788 ,20531 ,91367 ,51025 ,61697 ,35370 ,41336 ,34380 ,37010 ,38985 ,37088 ,35806 ,36988 ,35640 ,35583 ,36010 ,38095 ,42448 ,41267 ,50552 ,46780 ,60643 ,48902 ,63985 ,26449 ,49182 ,19623 ,38925 ,15037 ,48392 ,11720 ,47913 ,5714 ,24836 ,821 ,6668 ,32 ,627 ,0 ,12 ,0 ,0 
Dec.23,2호선,0234,신도림,3428 ,10 ,34910 ,4670 ,50232 ,19270 ,126498 ,41873 ,139519 ,104452 ,88632 ,67803 ,64409 ,67187 ,63918 ,69178 ,73842 ,71420 ,75902 ,74919 ,78642 ,71678 ,86240 ,81903 ,95555 ,95252 ,111550 ,120490 ,123275 ,166002 ,73083 ,118674 ,63899 ,74752 ,68585 ,72723 ,49959 ,71352 ,22933 ,56018 ,2958 ,25483 ,79 ,3762 ,1 ,377 ,0 ,0 
Dec.23,2호선,0235,문래,21 ,2 ,3821 ,2245 ,12792 ,10353 ,40202 ,34824 ,48133 ,124427 ,27908 ,61641 ,21112 ,27679 ,21444 ,24416 ,27309 ,27323 ,27322 ,28247 ,27307 ,26496 ,31165 ,28435 ,38376 ,33848 ,62739 ,43368 ,102158 ,60097 ,39520 ,40763 ,29748 ,23176 ,33544 ,21158 ,26602 ,19453 ,13120 ,12728 ,2114 ,4267 ,29 ,319 ,0 ,34 ,0 ,0 
Dec.23,2호선,0236,영등포구청,23 ,2 ,5128 ,3270 ,11288 ,14228 ,36248 ,35442 ,45125 ,114811 ,28969 ,49419 ,23152 ,27000 ,24396 ,25677 ,27642 ,27450 ,29120 ,29477 ,31086 ,28357 ,33401 ,29736 ,39433 ,34076 ,59001 ,41365 ,95000 ,55329 ,36292 ,36695 ,29540 ,23268 ,28589 ,21580 ,22738 ,20036 ,10538 ,14269 ,1762 ,5253 ,36 ,517 ,3 ,65 ,0 ,0 
Dec.23,2호선,0237,당산,37 ,0 ,6373 ,2967 ,15687 ,11967 ,40594 ,25303 ,51179 ,68909 ,32978 ,33375 ,24792 ,18386 ,23798 ,17746 ,25734 ,20317 ,24474 ,22198 ,23340 ,23171 ,25714 ,26842 ,29767 ,33927 ,42212 ,47574 ,53057 ,67630 ,24337 ,46487 ,19840 ,32447 ,20299 ,33102 ,18199 ,31430 ,8863 ,21273 ,1348 ,5779 ,21 ,578 ,0 ,123 ,0 ,0 
Dec.23,2호선,0238,합정,139 ,8 ,10924 ,2489 ,17735 ,12776 ,40952 ,29184 ,50800 ,88963 ,35737 ,82230 ,28442 ,54379 ,32153 ,54954 ,38630 ,59521 ,42801 ,65738 ,47618 ,60384 ,53192 ,64484 ,62684 ,74339 ,81725 ,96462 ,112287 ,122168 ,78414 ,82361 ,68259 ,45958 ,79171 ,38301 ,78470 ,34479 ,41482 ,24840 ,7054 ,9135 ,212 ,957 ,0 ,134 ,0 ,0 
Dec.23,2호선,0239,홍대입구,1252 ,23 ,30969 ,3804 ,32093 ,17644 ,58680 ,39592 ,75160 ,102693 ,59253 ,128150 ,57291 ,112559 ,66885 ,143067 ,78376 ,171710 ,91148 ,188528 ,106317 ,181808 ,131166 ,183824 ,166739 ,193644 ,194338 ,220172 ,214091 ,250872 ,181154 ,180214 ,182745 ,109352 ,216017 ,91824 ,212376 ,75030 ,110986 ,53728 ,13808 ,20099 ,370 ,4017 ,5 ,883 ,0 ,0 
Dec.23,2호선,0240,신촌,83 ,7 ,7856 ,2891 ,14275 ,14331 ,34680 ,32742 ,50720 ,81296 ,38069 ,91086 ,39475 ,71236 ,48746 ,67314 ,62965 ,72855 ,65592 ,80221 ,70112 ,71131 ,78845 ,69127 ,93901 ,74911 ,106538 ,95048 ,98489 ,119318 ,70766 ,79348 ,75664 ,48597 ,80782 ,44957 ,80890 ,39267 ,38954 ,27101 ,6896 ,8434 ,128 ,1402 ,0 ,50 ,0 ,0 
Dec.23,2호선,0241,이대,36 ,0 ,3682 ,966 ,8687 ,6209 ,25843 ,12466 ,35645 ,39646 ,23309 ,37609 ,20197 ,34350 ,22842 ,26532 ,29310 ,30171 ,28699 ,32514 ,28339 ,27922 ,34577 ,28091 ,37436 ,29025 ,47038 ,35152 ,38350 ,45285 ,24308 ,32652 ,20873 ,23486 ,20648 ,23853 ,17042 ,24201 ,6811 ,17902 ,933 ,5075 ,20 ,694 ,0 ,19 ,0 ,0 
Dec.23,2호선,0242,아현,20 ,2 ,4821 ,796 ,10025 ,4173 ,27618 ,10908 ,40656 ,20237 ,24222 ,12397 ,19018 ,11910 ,17705 ,10690 ,19604 ,12617 ,20210 ,13877 ,16617 ,15308 ,18210 ,16978 ,21289 ,19753 ,22278 ,24487 ,19652 ,32727 ,12213 ,23689 ,9071 ,17876 ,6884 ,17670 ,5546 ,17123 ,2546 ,10473 ,475 ,3183 ,30 ,274 ,2 ,13 ,0 ,0 
