최저 기온 날짜,최저 기온,최고 기온 날짜,최고 기온
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-04-13,23.5
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-05-31,33.4
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-06-30,35.5
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-01-31,-7.0,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1907-12-20,-8.7,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1907-08-13,35.6
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
1908-02-06,-9.5,1908-08-05,37.8
